Date,Ticker,Open,Close,Volume,Sector,Industry
2020-05-28,AAPL,79.19,79.56,133560800,Technology,Consumer Electronics
2020-05-29,AAPL,79.81,79.49,153598000,Technology,Consumer Electronics
2020-06-01,AAPL,79.44,80.46,80791200,Technology,Consumer Electronics
2020-06-02,AAPL,80.19,80.83,87642800,Technology,Consumer Electronics
2020-06-03,AAPL,81.17,81.28,104491200,Technology,Consumer Electronics
2020-06-04,AAPL,81.1,80.58,87560400,Technology,Consumer Electronics
2020-06-05,AAPL,80.84,82.88,137250400,Technology,Consumer Electronics
2020-06-08,AAPL,82.56,83.36,95654400,Technology,Consumer Electronics
2020-06-09,AAPL,83.04,86.0,147712400,Technology,Consumer Electronics
2020-06-10,AAPL,86.97,88.21,166651600,Technology,Consumer Electronics
2020-06-11,AAPL,87.33,83.97,201662400,Technology,Consumer Electronics
2020-06-12,AAPL,86.18,84.7,200146000,Technology,Consumer Electronics
2020-06-15,AAPL,83.31,85.75,138808800,Technology,Consumer Electronics
2020-06-16,AAPL,87.86,88.02,165428800,Technology,Consumer Electronics
2020-06-17,AAPL,88.79,87.9,114406400,Technology,Consumer Electronics
2020-06-18,AAPL,87.85,87.93,96820400,Technology,Consumer Electronics
2020-06-19,AAPL,88.66,87.43,264476000,Technology,Consumer Electronics
2020-06-22,AAPL,87.83,89.72,135445200,Technology,Consumer Electronics
2020-06-23,AAPL,91.0,91.63,212155600,Technology,Consumer Electronics
2020-06-24,AAPL,91.25,90.01,192623200,Technology,Consumer Electronics
2020-06-25,AAPL,90.18,91.21,137522400,Technology,Consumer Electronics
2020-06-26,AAPL,91.1,88.41,205256800,Technology,Consumer Electronics
2020-06-29,AAPL,88.31,90.44,130646000,Technology,Consumer Electronics
2020-06-30,AAPL,90.02,91.2,140223200,Technology,Consumer Electronics
2020-07-01,AAPL,91.28,91.03,110737200,Technology,Consumer Electronics
2020-07-02,AAPL,91.96,91.03,114041600,Technology,Consumer Electronics
2020-07-06,AAPL,92.5,93.46,118655600,Technology,Consumer Electronics
2020-07-07,AAPL,93.85,93.17,112424400,Technology,Consumer Electronics
2020-07-08,AAPL,94.18,95.34,117092000,Technology,Consumer Electronics
2020-07-09,AAPL,96.26,95.75,125642800,Technology,Consumer Electronics
2020-07-10,AAPL,95.33,95.92,90257200,Technology,Consumer Electronics
2020-07-13,AAPL,97.26,95.48,191649200,Technology,Consumer Electronics
2020-07-14,AAPL,94.84,97.06,170989200,Technology,Consumer Electronics
2020-07-15,AAPL,98.99,97.72,153198000,Technology,Consumer Electronics
2020-07-16,AAPL,96.56,96.52,110577600,Technology,Consumer Electronics
2020-07-17,AAPL,96.99,96.33,92186800,Technology,Consumer Electronics
2020-07-20,AAPL,96.42,98.36,90318000,Technology,Consumer Electronics
2020-07-21,AAPL,99.17,97.0,103646000,Technology,Consumer Electronics
2020-07-22,AAPL,96.69,97.27,89001600,Technology,Consumer Electronics
2020-07-23,AAPL,97.0,92.85,197004400,Technology,Consumer Electronics
2020-07-24,AAPL,90.99,92.61,185438800,Technology,Consumer Electronics
2020-07-27,AAPL,93.71,94.81,121214000,Technology,Consumer Electronics
2020-07-28,AAPL,94.37,93.25,103625600,Technology,Consumer Electronics
2020-07-29,AAPL,93.75,95.04,90329200,Technology,Consumer Electronics
2020-07-30,AAPL,94.19,96.19,158130000,Technology,Consumer Electronics
2020-07-31,AAPL,102.89,106.26,374336800,Technology,Consumer Electronics
2020-08-03,AAPL,108.2,108.94,308151200,Technology,Consumer Electronics
2020-08-04,AAPL,109.13,109.67,173071600,Technology,Consumer Electronics
2020-08-05,AAPL,109.38,110.06,121992000,Technology,Consumer Electronics
2020-08-06,AAPL,110.4,113.9,202428800,Technology,Consumer Electronics
2020-08-07,AAPL,113.21,111.11,198045600,Technology,Consumer Electronics
